Date,Lie,Url,Explanation
2017-03-15,"On the airplanes, I saved $725 million. Probably took me a half an hour if you added up all of the times.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-17,"I was in Tennessee — I was just telling the folks — and half of the state has no insurance company, and the other half is going to lose the insurance company.",https://public.tableau.com/profile/kaiser.family.foundation#!/vizhome/InsurerParticipationinthe2017IndividualMarketplace/2017InsurerParticipation,There's at least one insurer in every Tennessee county.
2017-03-20,"With just one negotiation on one set of airplanes, I saved the taxpayers of our country over $700 million.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-21,"To save taxpayer dollars, I’ve already begun negotiating better contracts for the federal government — saving over $700 million on just one set of airplanes of which there are many sets.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-03-22,"I make the statement, everyone goes crazy. The next day they have a massive riot, and death, and problems.",https://www.nytimes.com/2017/02/19/world/europe/last-night-in-sweden-trumps-remark-baffles-a-nation.html,Riots in Sweden broke out two days later and there were no deaths.
2017-03-22,"NATO, obsolete, because it doesn’t cover terrorism. They fixed that.",http://www.politifact.com/truth-o-meter/statements/2016/sep/27/donald-trump/donald-trump-wrong-again-about-nato-increasing-ter/,It has fought terrorism since the 1980s.
2017-03-22,"Well, now, if you take a look at the votes, when I say that, I mean mostly they register wrong — in other words, for the votes, they register incorrectly and/or illegally. And they then vote. You have tremendous numbers of people.",https://www.nytimes.com/2017/01/24/us/politics/unauthorized-immigrant-voting-trump-lie.html,There's no evidence of widespread voter fraud.
2017-03-29,"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",https://www.nytimes.com/2016/11/13/us/elections/to-our-readers-from-the-publisher-and-executive-editor.html,It didn't apologize.
2017-03-31,"We have a lot of plants going up now in Michigan that were never going to be there if I — if I didn’t win this election, those plants would never even think about going back. They were gone.",https://www.nytimes.com/interactive/2017/business/economy/trump-jobs.html,These investments were already planned.
2017-04-02,"And I was totally opposed to the war in the Middle East which I think finally has been proven, people tried very hard to say I wasn’t but you’ve seen that it is now improving.",https://www.buzzfeed.com/andrewkaczynski/in-2002-donald-trump-said-he-supported-invading-iraq-on-the,He was for an invasion before he was against it.
2017-04-02,"Now, my last tweet — you know, the one that you are talking about, perhaps — was the one about being, in quotes, wiretapped, meaning surveilled. Guess what, it is turning out to be true.",https://www.nytimes.com/2017/03/04/us/politics/trump-obama-tap-phones.html,There is still no evidence.
2017-04-05,You have many states coming up where they’re going to have no insurance company. O.K.? It’s already happened in Tennessee. It’s happening in Kentucky. Tennessee only has half coverage. Half the state is gone. They left.,https://www.nytimes.com/2017/03/24/us/politics/fact-check-trumps-misleading-claims-in-health-bill-failure.html,Every marketplace region in Tennessee had at least one insurer.
2017-04-06,"If you look at the kind of cost-cutting we’ve been able to achieve with the military and at the same time ordering vast amounts of equipment — saved hundreds of millions of dollars on airplanes, and really billions, because if you take that out over a period of years it’s many billions of dollars — I think we’ve had a tremendous success.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were already projected.
2017-04-11,"I like Steve, but you have to remember he was not involved in my campaign until very late. I had already beaten all the senators and all the governors, and I didn’t know Steve.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics,He knew Steve Bannon since 2011.
2017-04-12,"You can't do it faster, because they're obstructing. They're obstructionists. So I have people — hundreds of people that we're trying to get through. I mean you have — you see the backlog. We can't get them through.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics,"At this point, he had not nominated anyone for hundreds of positions."
2017-04-12,The New York Times said the word wiretapped in the headline of the first edition. Then they took it out of there fast when they realized.,https://www.nytimes.com/2017/03/23/us/politics/fact-check-trump-misleads-surveillance-wiretapping.html,"There were separate headlines for print and web, but neither were altered."
2017-04-12,"The secretary general and I had a productive discussion about what more NATO can do in the fight against terrorism. I complained about that a long time ago and they made a change, and now they do fight terrorism.",https://www.nytimes.com/2017/04/12/us/politics/trump-steven-bannon-fox-business-news-interview.html?ref=politics,NATO has been engaged in counterterrorism efforts since the 1980s.
2017-04-12,Mosul was supposed to last for a week and now they’ve been fighting it for many months and so many more people died.,https://www.washingtonpost.com/news/the-fix/wp/2017/04/12/president-trumps-throughly-confusing-fox-business-interview-annotated/,The campaign was expected to take months.
2017-04-16,Someone should look into who paid for the small organized rallies yesterday. The election is over!,https://www.nytimes.com/2017/04/15/us/politics/tax-day-march.html,There's no evidence of paid protesters.
2017-04-18,"The fake media goes, ‘Donald Trump changed his stance on China.’ I haven’t changed my stance.",https://www.nytimes.com/2017/04/14/business/china-currency-manipulation-trump.html,He did.
2017-04-21,"On 90 planes I saved $725 million. It's actually a little bit more than that, but it's $725 million.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were already projected.
2017-04-21,"When WikiLeaks came out ... never heard of WikiLeaks, never heard of it.",https://www.washingtonpost.com/news/fact-checker/wp/2017/04/25/fact-checking-president-trumps-pinocchio-laden-associated-press-interview/?utm_term=.33ae871d0c9c,He criticized it as early as 2010.
2017-04-27,I want to help our miners while the Democrats are blocking their healthcare.,http://www.pbs.org/newshour/rundown/retired-coal-miners-get-health-care-fix-pension-problems-remain/,The bill to extend health benefits for certain coal miners was introduced by a Democrat and was co-sponsored by mostly Democrats.
2017-04-28,"The trade deficit with Mexico is close to $70 billion, even with Canada it’s $17 billion trade deficit with Canada.",http://www.factcheck.org/2017/05/trumps-100-day-boasts/,"The U.S. had an $8.1 billion trade surplus, not deficit, with Canada in 2016."
2017-04-28,"She's running against someone who's going to raise your taxes to the sky, destroy your health care, and he's for open borders — lots of crime.",http://www.mdjonline.com/opinion/jon-ossoff-voters-too-smart-to-believe-attack-ads/article_d6c9dafa-1e5a-11e7-a93c-c7e0b4d4f985.html,Those are not Jon Ossoff's positions.
2017-04-28,"The F-35 fighter jet program — it was way over budget. I’ve saved $725 million plus, just by getting involved in the negotiation.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were planned before Trump.
2017-04-29,"As you know, I've been a big critic of China, and I've been talking about currency manipulation for a long time. But I have to tell you that during the election, number one, they stopped.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped years ago.
2017-04-29,I've already saved more than $725 million on a simple order of F-35 planes. I got involved in the negotiation.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were planned before Trump.
2017-04-29,"We're also getting NATO countries to finally step up and contribute their fair share. They've begun to increase their contributions by billions of dollars, but we are not going to be satisfied until everyone pays what they owe.",https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html,The deal was struck in 2014.
2017-04-29,"When they talk about currency manipulation, and I did say I would call China, if they were, a currency manipulator, early in my tenure. And then I get there. Number one, they — as soon as I got elected, they stopped.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped in 2014.
2017-04-29,"I was negotiating to reduce the price of the big fighter jet contract, the F-35, which was totally out of control. I will save billions and billions and billions of dollars.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Most of the cuts were planned before Trump.
2017-04-29,I think our side's been proven very strongly. And everybody's talking about it.,https://www.nytimes.com/2017/03/20/us/politics/intelligence-committee-russia-donald-trump.html,There's still no evidence Trump's phones were tapped.
2017-05-01,"Well, we are protecting pre-existing conditions. And it'll be every good — bit as good on pre-existing conditions as Obamacare.",https://www.nytimes.com/2017/04/26/upshot/what-changed-in-the-health-repeal-plan-to-win-over-the-freedom-caucus.html,The bill weakens protections for people with pre-existing conditions.
2017-05-01,"The F-35 fighter jet — I saved — I got involved in the negotiation. It's 2,500 jets. I negotiated for 90 planes, lot 10. I got $725 million off the price.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the price cuts were planned before Trump.
2017-05-01,"First of all, since I started running, they haven't increased their — you know, they have not manipulated their currency. I think that was out of respect to me and the campaign.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped years ago.
2017-05-02,"I love buying those planes at a reduced price. I have been really — I have cut billions — I have to tell you this, and they can check, right, Martha? I have cut billions and billions of dollars off plane contracts sitting here.",https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,Much of the cost cuts were planned before Trump.
2017-05-04,"Number two, they’re actually not a currency [manipulator]. You know, since I’ve been talking about currency manipulation with respect to them and other countries, they stopped.",https://www.nytimes.com/2017/04/07/world/asia/fact-check-trump-china-trade.html,China stopped years ago.
2017-05-04,We’re the highest-taxed nation in the world.,http://www.politifact.com/truth-o-meter/statements/2016/may/08/donald-trump/donald-trump-us-not-highest-taxed-nation-in-world/,We're not.
2017-05-04,Nobody cares about my tax return except for the reporters.,http://time.com/money/4732925/trump-tax-returns-released-poll/,Polls show most Americans do care.
2017-05-08,You know we’ve gotten billions of dollars more in NATO than we’re getting. All because of me.,https://www.nytimes.com/2017/03/01/us/politics/fact-check-trump-military.html,The deal was struck in 2014.
2017-05-08,"But when I did his show, which by the way was very highly rated. It was high — highest rating. The highest rating he’s ever had.",http://money.cnn.com/2017/05/11/media/stephen-colbert-trump-no-talent-comment/,Colbert's Late Show debut had nearly two million more viewers.
2017-05-08,"Director Clapper reiterated what everybody, including the fake media already knows — there is ‘no evidence’ of collusion w/ Russia and Trump.",https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html,Clapper only said he wasn't aware of an investigation.
2017-05-12,"Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.",https://www.nytimes.com/interactive/2017/05/10/us/politics/fbi-congress-trump-russia-investigations.html,The F.B.I. was investigating before the election.
2017-05-12,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",https://www.nytimes.com/2017/05/10/us/politics/fact-check-fbi-james-comey-sarah-huckabee-sanders.html,Clapper said he wouldn't have been told of an investigation into collusion.
2017-05-13,I'm cutting the price of airplanes with Lockheed.,https://www.washingtonpost.com/news/fact-checker/wp/2017/01/31/trumps-claim-taking-credit-for-cutting-600-million-from-the-f-35-program/,The cost cuts were planned before he became president.
2017-05-26,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,https://www.washingtonpost.com/news/fact-checker/wp/2017/05/26/president-trumps-claim-that-hes-already-saved-millions-of-jobs-on-his-foreign-trip/?utm_term=.820dd5955428,He's referencing an arms deal that's not enacted and other apparent deals that weren't announced on the trip.
2017-06-01,"China will be allowed to build hundreds of additional coal plants. So, we can’t build the plants, but they can, according to this agreement. India will be allowed to double its coal production by 2020.",https://www.washingtonpost.com/news/the-fix/wp/2017/06/01/transcript-president-trumps-remarks-on-leaving-the-paris-climate-deal-annotated/?utm_term=.7f974232c4ba,The agreement doesn’t allow or disallow building coal plants.
2017-06-01,"I’ve just returned from a trip overseas where we concluded nearly $350 billion of military and economic development for the United States, creating hundreds of thousands of jobs.",https://www.washingtonpost.com/news/fact-checker/wp/2017/06/08/the-trump-administrations-tally-of-350-billion-plus-in-deals-with-saudi-arabia/?utm_term=.142db3117855,Trump’s figures are inflated and premature.
2017-06-04,At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’,http://www.snopes.com/2017/06/04/london-mayor-sadiq-khan-no-reason-to-be-alarmed-trump/,The mayor was specifically talking about the enlarged police presence on the streets.
2017-06-05,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",http://www.factcheck.org/2017/06/trumps-tweets-twist-facts/,"Trump signed this version of the travel ban, not the Justice Department."
2017-06-20,"Well, the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O!",https://www.washingtonpost.com/news/the-fix/wp/2017/06/21/republicans-claim-a-big-victory-and-trump-promptly-exaggerates-it/?utm_term=.ce22a6dade36,"Republicans have won four special elections this year, while a Democrat won one."
2017-06-21,They all say it's 'nonbinding.' Like hell it's nonbinding.,https://www.nytimes.com/2017/06/21/us/politics/trump-iowa-rally-venting-session.html,The Paris climate agreement is nonbinding — and Trump said so in his speech announcing the withdrawal.
2017-06-21,"Right now, we are one of the highest-taxed nations in the world.",http://www.politifact.com/truth-o-meter/article/2017/jun/22/fact-checking-nine-things-trump-overstated-got-wro/,We're not.
